AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2019,05,150120,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,M,60 A MAS AÑOS,PERÚ,1
2025,03,200304,PIURA,HUANCABAMBA,HUARMACA,F,12-17 AÑOS,PERÚ,1
2020,11,120421,JUNÍN,JAUJA,MUQUIYAUYO,F,12-17 AÑOS,PERÚ,1
2024,02,200115,PIURA,PIURA,26 DE OCTUBRE,F,6-11 AÑOS,PERÚ,1
2024,07,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,18-29 AÑOS,PERÚ,3
2020,04,021801,ÁNCASH,SANTA,CHIMBOTE,F,18-29 AÑOS,VENEZUELA,1
2019,09,020601,ÁNCASH,CARHUAZ,CARHUAZ,M,12-17 AÑOS,PERÚ,1
2021,08,020611,ÁNCASH,CARHUAZ,YUNGAR,M,60 A MAS AÑOS,PERÚ,1
2023,03,150605,REGIÓN LIMA,HUARAL,CHANCAY,M,6-11 AÑOS,PERÚ,1
2025,03,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,12-17 AÑOS,VENEZUELA,1
2023,04,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,F,30-59 AÑOS,PERÚ,1
2024,10,130801,LA LIBERTAD,PATAZ,TAYABAMBA,F,18-29 AÑOS,PERÚ,1
2019,12,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,F,12-17 AÑOS,BOLIVIA,1
2019,04,200109,PIURA,PIURA,LA ARENA,F,18-29 AÑOS,PERÚ,2
2022,11,120701,JUNÍN,TARMA,TARMA,F,12-17 AÑOS,PERÚ,1
2020,04,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,12-17 AÑOS,PERÚ,3
2023,02,100604,HUÁNUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,F,12-17 AÑOS,PERÚ,1
2021,10,080902,CUSCO,LA CONVENCION,ECHARATE,F,6-11 AÑOS,PERÚ,1
2020,03,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,M,18-29 AÑOS,PERÚ,4
2023,10,200501,PIURA,PAITA,PAITA,M,18-29 AÑOS,PERÚ,1
2019,01,070102,CALLAO,CALLAO,BELLAVISTA,M,30-59 AÑOS,PERÚ,2
2024,03,040103,AREQUIPA,AREQUIPA,CAYMA,F,30-59 AÑOS,PERÚ,1
2024,08,150107,LIMA METROPOLITANA,LIMA,CHACLACAYO,F,12-17 AÑOS,PERÚ,2
2021,12,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,0-5 AÑOS,PERÚ,1
2022,10,200601,PIURA,SULLANA,SULLANA,M,12-17 AÑOS,PERÚ,2
2022,12,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,F,,PERÚ,1
2024,06,060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,F,30-59 AÑOS,PERÚ,1
2022,04,200706,PIURA,TALARA,MANCORA,F,12-17 AÑOS,PERÚ,1
2019,09,230101,TACNA,TACNA,TACNA,F,6-11 AÑOS,PERÚ,1
2022,09,140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,F,0-5 AÑOS,PERÚ,1
2022,07,210607,PUNO,HUANCANE,TARACO,F,12-17 AÑOS,PERÚ,1
2025,02,040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,F,18-29 AÑOS,PERÚ,1
2023,03,080308,CUSCO,ANTA,PUCYURA,F,12-17 AÑOS,PERÚ,1
2021,01,050104,AYACUCHO,HUAMANGA,CARMEN ALTO,F,12-17 AÑOS,PERÚ,1
2022,11,120130,JUNÍN,HUANCAYO,SAN JERONIMO DE TUNAN,F,12-17 AÑOS,PERÚ,1
2019,03,120114,JUNÍN,HUANCAYO,EL TAMBO,F,18-29 AÑOS,PERÚ,7
2023,02,040112,AREQUIPA,AREQUIPA,PAUCARPATA,M,30-59 AÑOS,PERÚ,1
2025,03,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,F,12-17 AÑOS,PERÚ,10
2024,05,080101,CUSCO,CUSCO,CUSCO,M,12-17 AÑOS,PERÚ,4
2023,08,200601,PIURA,SULLANA,SULLANA,F,6-11 AÑOS,PERÚ,1
2024,03,040128,AREQUIPA,AREQUIPA,YURA,F,18-29 AÑOS,PERÚ,2
2021,12,110207,ICA,CHINCHA,PUEBLO NUEVO,F,12-17 AÑOS,PERÚ,1
2023,03,070101,CALLAO,CALLAO,CALLAO,F,18-29 AÑOS,PERÚ,4
2025,10,081304,CUSCO,URUBAMBA,MACHUPICCHU,M,30-59 AÑOS,PERÚ,1
2019,05,150504,REGIÓN LIMA,CAÑETE,CERRO AZUL,M,12-17 AÑOS,PERÚ,1
2021,03,061001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,M,30-59 AÑOS,PERÚ,1
2019,10,240103,TUMBES,TUMBES,LA CRUZ,F,6-11 AÑOS,PERÚ,1
2019,01,070106,CALLAO,CALLAO,VENTANILLA,F,12-17 AÑOS,PERÚ,13
2025,11,110201,ICA,CHINCHA,CHINCHA ALTA,M,30-59 AÑOS,COLOMBIA,1
2023,08,130801,LA LIBERTAD,PATAZ,TAYABAMBA,F,6-11 AÑOS,PERÚ,1
2022,05,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,M,18-29 AÑOS,PERÚ,2
2023,03,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,18-29 AÑOS,PERÚ,3
2023,02,040110,AREQUIPA,AREQUIPA,MIRAFLORES,F,18-29 AÑOS,PERÚ,1
2025,07,200101,PIURA,PIURA,PIURA,M,30-59 AÑOS,PERÚ,1
2020,03,010307,AMAZONAS,BONGARA,JAZAN,F,12-17 AÑOS,PERÚ,1
2022,03,100101,HUÁNUCO,HUANUCO,HUANUCO,M,18-29 AÑOS,PERÚ,1
2020,07,200507,PIURA,PAITA,VICHAYAL,F,12-17 AÑOS,PERÚ,1
2022,02,080105,CUSCO,CUSCO,SAN SEBASTIAN,F,12-17 AÑOS,PERÚ,4
2021,11,120801,JUNÍN,YAULI,LA OROYA,F,12-17 AÑOS,PERÚ,1
2019,09,030109,APURIMAC,ABANCAY,TAMBURCO,M,60 A MAS AÑOS,PERÚ,1
2020,01,150130,LIMA METROPOLITANA,LIMA,SAN BORJA,F,30-59 AÑOS,PERÚ,2
2022,03,040128,AREQUIPA,AREQUIPA,YURA,M,12-17 AÑOS,PERÚ,1
2022,08,150812,REGIÓN LIMA,HUAURA,VEGUETA,F,60 A MAS AÑOS,PERÚ,1
2023,02,120401,JUNÍN,JAUJA,JAUJA,F,12-17 AÑOS,PERÚ,1
2024,01,211101,PUNO,SAN ROMAN,JULIACA,M,60 A MAS AÑOS,PERÚ,3
2022,12,210802,PUNO,MELGAR,ANTAUTA,F,12-17 AÑOS,PERÚ,1
2023,02,100102,HUÁNUCO,HUANUCO,AMARILIS,F,18-29 AÑOS,PERÚ,1
2023,05,220901,SAN MARTÍN,SAN MARTIN,TARAPOTO,M,30-59 AÑOS,PERÚ,1
2025,12,130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,M,60 A MAS AÑOS,PERÚ,1
2025,04,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,60 A MAS AÑOS,PERÚ,1
2019,11,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,F,12-17 AÑOS,PERÚ,8
2025,04,250107,UCAYALI,CORONEL PORTILLO,MANANTAY,F,12-17 AÑOS,PERÚ,1
2021,12,200602,PIURA,SULLANA,BELLAVISTA,F,12-17 AÑOS,PERÚ,3
2020,09,050113,AYACUCHO,HUAMANGA,TAMBILLO,M,12-17 AÑOS,PERÚ,1
2019,07,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,12-17 AÑOS,PERÚ,2
2021,12,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,F,12-17 AÑOS,PERÚ,5
2023,08,010702,AMAZONAS,UTCUBAMBA,CAJARURO,F,18-29 AÑOS,PERÚ,1
2025,09,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30-59 AÑOS,PERÚ,1
2020,11,100201,HUÁNUCO,AMBO,AMBO,F,12-17 AÑOS,PERÚ,2
2024,05,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,F,12-17 AÑOS,PERÚ,1
2022,04,190111,PASCO,PASCO,TINYAHUARCO,M,18-29 AÑOS,PERÚ,1
2020,01,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,30-59 AÑOS,PERÚ,5
2024,02,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,60 A MAS AÑOS,PERÚ,1
2025,06,130801,LA LIBERTAD,PATAZ,TAYABAMBA,M,30-59 AÑOS,PERÚ,1
2023,07,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,6-11 AÑOS,PERÚ,1
2020,12,170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,F,12-17 AÑOS,PERÚ,3
2025,02,100102,HUÁNUCO,HUANUCO,AMARILIS,M,12-17 AÑOS,PERÚ,2
2021,01,150126,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,F,18-29 AÑOS,PERÚ,1
2022,02,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,6-11 AÑOS,PERÚ,2
2019,10,160112,LORETO,MAYNAS,BELEN,F,12-17 AÑOS,PERÚ,5
2022,11,200101,PIURA,PIURA,PIURA,M,12-17 AÑOS,PERÚ,3
2019,05,050202,AYACUCHO,CANGALLO,CHUSCHI,M,12-17 AÑOS,PERÚ,1
2019,09,120701,JUNÍN,TARMA,TARMA,F,12-17 AÑOS,PERÚ,3
2019,06,040117,AREQUIPA,AREQUIPA,SACHACA,F,12-17 AÑOS,PERÚ,1
2021,03,200603,PIURA,SULLANA,IGNACIO ESCUDERO,F,12-17 AÑOS,PERÚ,1
2022,09,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,F,12-17 AÑOS,PERÚ,4
2025,11,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,30-59 AÑOS,PERÚ,4
2019,12,150123,LIMA METROPOLITANA,LIMA,PACHACAMAC,M,60 A MAS AÑOS,PERÚ,1
2019,02,050116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES,M,30-59 AÑOS,PERÚ,2
2024,06,080705,CUSCO,CHUMBIVILCAS,LIVITACA,F,12-17 AÑOS,PERÚ,1
2020,03,200101,PIURA,PIURA,PIURA,F,60 A MAS AÑOS,PERÚ,1
2021,02,010401,AMAZONAS,CONDORCANQUI,NIEVA,M,12-17 AÑOS,PERÚ,1
2022,08,160112,LORETO,MAYNAS,BELEN,F,12-17 AÑOS,PERÚ,3
2022,04,081103,CUSCO,PAUCARTAMBO,CHALLABAMBA,F,6-11 AÑOS,PERÚ,1
2025,03,070101,CALLAO,CALLAO,CALLAO,M,12-17 AÑOS,PERÚ,5
2023,02,120304,JUNÍN,CHANCHAMAYO,SAN LUIS DE SHUARO,F,18-29 AÑOS,PERÚ,1
2019,09,120130,JUNÍN,HUANCAYO,SAN JERONIMO DE TUNAN,F,12-17 AÑOS,PERÚ,1
2024,04,160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,F,12-17 AÑOS,PERÚ,1
2020,07,090119,HUANCAVELICA,HUANCAVELICA,HUANDO,M,30-59 AÑOS,PERÚ,1
2021,01,050804,AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,M,60 A MAS AÑOS,PERÚ,1
2022,12,070101,CALLAO,CALLAO,CALLAO,M,60 A MAS AÑOS,PERÚ,3
2022,09,210801,PUNO,MELGAR,AYAVIRI,M,60 A MAS AÑOS,PERÚ,1
2020,03,030101,APURIMAC,ABANCAY,ABANCAY,M,18-29 AÑOS,PERÚ,1
2023,12,190301,PASCO,OXAPAMPA,OXAPAMPA,F,12-17 AÑOS,PERÚ,1
2023,07,150110,LIMA METROPOLITANA,LIMA,COMAS,M,60 A MAS AÑOS,PERÚ,6
2024,02,080105,CUSCO,CUSCO,SAN SEBASTIAN,M,18-29 AÑOS,PERÚ,1
2024,06,140312,LAMBAYEQUE,LAMBAYEQUE,TUCUME,F,12-17 AÑOS,PERÚ,1
2021,08,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,18-29 AÑOS,VENEZUELA,1
2022,11,230101,TACNA,TACNA,TACNA,F,6-11 AÑOS,PERÚ,1
2023,05,211105,PUNO,SAN ROMAN,SAN MIGUEL,F,12-17 AÑOS,PERÚ,1
2021,12,180301,MOQUEGUA,ILO,ILO,M,18-29 AÑOS,PERÚ,1
2025,05,150101,LIMA METROPOLITANA,LIMA,LIMA,M,30-59 AÑOS,PARAGUAY,1
2021,02,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,18-29 AÑOS,PERÚ,2
2021,09,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,M,60 A MAS AÑOS,PERÚ,1
2023,09,230101,TACNA,TACNA,TACNA,M,12-17 AÑOS,PERÚ,1
2024,12,040122,AREQUIPA,AREQUIPA,SOCABAYA,F,12-17 AÑOS,PERÚ,1
2023,02,040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,M,12-17 AÑOS,PERÚ,1
2021,11,090405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,M,0-5 AÑOS,PERÚ,1
2024,04,150110,LIMA METROPOLITANA,LIMA,COMAS,F,0-5 AÑOS,PERÚ,1
2025,01,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,60 A MAS AÑOS,PERÚ,1
2022,05,120422,JUNÍN,JAUJA,PACA,F,60 A MAS AÑOS,PERÚ,1
2023,10,060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,F,12-17 AÑOS,PERÚ,1
2024,09,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,18-29 AÑOS,PERÚ,1
2021,09,080103,CUSCO,CUSCO,POROY,F,12-17 AÑOS,PERÚ,1
2025,02,070104,CALLAO,CALLAO,LA PERLA,F,12-17 AÑOS,COLOMBIA,1
2021,09,061301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,F,12-17 AÑOS,PERÚ,1
2019,06,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,12-17 AÑOS,PERÚ,5
2019,08,110106,ICA,ICA,PARCONA,M,12-17 AÑOS,PERÚ,1
2020,08,150110,LIMA METROPOLITANA,LIMA,COMAS,F,12-17 AÑOS,PERÚ,14
2024,12,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,F,12-17 AÑOS,PERÚ,3
2024,03,100101,HUÁNUCO,HUANUCO,HUANUCO,F,12-17 AÑOS,PERÚ,2
2024,11,200101,PIURA,PIURA,PIURA,F,18-29 AÑOS,PERÚ,1
2023,04,190304,PASCO,OXAPAMPA,PALCAZU,F,12-17 AÑOS,PERÚ,2
2020,10,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,F,12-17 AÑOS,PERÚ,1
2021,04,081301,CUSCO,URUBAMBA,URUBAMBA,F,12-17 AÑOS,PERÚ,2
2020,06,040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,F,12-17 AÑOS,PERÚ,1
2021,11,010207,AMAZONAS,BAGUA,EL MUYO,F,18-29 AÑOS,PERÚ,1
2025,05,220202,SAN MARTÍN,BELLAVISTA,ALTO BIAVO,M,30-59 AÑOS,PERÚ,1
2019,04,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,M,12-17 AÑOS,PERÚ,3
2021,12,200703,PIURA,TALARA,LA BREA,F,12-17 AÑOS,PERÚ,1
2024,12,170204,MADRE DE DIOS,MANU,HUEPETUHE,F,18-29 AÑOS,PERÚ,1
2024,04,060401,CAJAMARCA,CHOTA,CHOTA,F,12-17 AÑOS,PERÚ,1
2024,09,150122,LIMA METROPOLITANA,LIMA,MIRAFLORES,M,18-29 AÑOS,PERÚ,1
2022,12,080910,CUSCO,LA CONVENCION,PICHARI,M,6-11 AÑOS,PERÚ,1
2019,05,240301,TUMBES,ZARUMILLA,ZARUMILLA,M,12-17 AÑOS,VENEZUELA,1
2025,08,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,30-59 AÑOS,PERÚ,3
2023,05,150103,LIMA METROPOLITANA,LIMA,ATE,F,30-59 AÑOS,PERÚ,2
2020,06,110301,ICA,NAZCA,NAZCA,F,12-17 AÑOS,PERÚ,2
2020,06,250107,UCAYALI,CORONEL PORTILLO,MANANTAY,F,,PERÚ,1
2024,02,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30-59 AÑOS,PERÚ,2
2019,05,010203,AMAZONAS,BAGUA,COPALLIN,F,12-17 AÑOS,PERÚ,1
2022,03,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,F,12-17 AÑOS,VENEZUELA,1
2019,12,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,6-11 AÑOS,PERÚ,1
2024,11,150116,LIMA METROPOLITANA,LIMA,LINCE,M,18-29 AÑOS,VENEZUELA,1
2025,01,180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,M,30-59 AÑOS,PERÚ,2
2019,03,150605,REGIÓN LIMA,HUARAL,CHANCAY,F,12-17 AÑOS,PERÚ,5
2020,11,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,12-17 AÑOS,VENEZUELA,1
2022,07,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,12-17 AÑOS,PERÚ,5
2019,09,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,F,12-17 AÑOS,PERÚ,1
2019,10,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,30-59 AÑOS,PERÚ,1
2023,12,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,12-17 AÑOS,PERÚ,6
2025,04,160404,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,F,12-17 AÑOS,PERÚ,1
2019,03,030216,APURIMAC,ANDAHUAYLAS,TALAVERA,M,30-59 AÑOS,PERÚ,1
2025,12,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,18-29 AÑOS,PERÚ,2
2020,01,090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,F,60 A MAS AÑOS,PERÚ,1
2025,01,080801,CUSCO,ESPINAR,ESPINAR,F,12-17 AÑOS,PERÚ,1
2021,03,080101,CUSCO,CUSCO,CUSCO,M,18-29 AÑOS,PERÚ,2
2024,10,022003,ÁNCASH,YUNGAY,MANCOS,F,12-17 AÑOS,PERÚ,1
2020,03,150103,LIMA METROPOLITANA,LIMA,ATE,M,30-59 AÑOS,PERÚ,3
2025,08,210401,PUNO,CHUCUITO,JULI,F,12-17 AÑOS,PERÚ,1
2022,07,050104,AYACUCHO,HUAMANGA,CARMEN ALTO,M,12-17 AÑOS,PERÚ,2
2023,07,140117,LAMBAYEQUE,CHICLAYO,PATAPO,F,12-17 AÑOS,PERÚ,1
2020,05,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,60 A MAS AÑOS,PERÚ,2
2023,12,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,30-59 AÑOS,PERÚ,3
2019,12,080106,CUSCO,CUSCO,SANTIAGO,M,18-29 AÑOS,PERÚ,2
2023,05,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,F,18-29 AÑOS,PERÚ,2
2020,03,220901,SAN MARTÍN,SAN MARTIN,TARAPOTO,F,30-59 AÑOS,PERÚ,1
2019,08,050203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,M,18-29 AÑOS,PERÚ,1
2025,05,200110,PIURA,PIURA,LA UNION,M,30-59 AÑOS,PERÚ,1
2019,10,100102,HUÁNUCO,HUANUCO,AMARILIS,F,0-5 AÑOS,PERÚ,2
2019,04,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,M,12-17 AÑOS,VENEZUELA,1
2021,05,100101,HUÁNUCO,HUANUCO,HUANUCO,F,18-29 AÑOS,PERÚ,3
2024,09,170302,MADRE DE DIOS,TAHUAMANU,IBERIA,M,60 A MAS AÑOS,PERÚ,1
2021,05,040128,AREQUIPA,AREQUIPA,YURA,F,12-17 AÑOS,PERÚ,3
2019,08,050401,AYACUCHO,HUANTA,HUANTA,F,18-29 AÑOS,PERÚ,1
2019,06,010512,AMAZONAS,LUYA,OCALLI,M,12-17 AÑOS,PERÚ,1
2025,09,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,6-11 AÑOS,PERÚ,1
2021,07,110505,ICA,PISCO,PARACAS,M,30-59 AÑOS,PERÚ,1
2025,02,060415,CAJAMARCA,CHOTA,QUEROCOTO,F,12-17 AÑOS,PERÚ,1
2019,02,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,6-11 AÑOS,PERÚ,5
2019,08,150123,LIMA METROPOLITANA,LIMA,PACHACAMAC,M,12-17 AÑOS,PERÚ,1
2021,12,100102,HUÁNUCO,HUANUCO,AMARILIS,F,30-59 AÑOS,PERÚ,1
2020,12,090310,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,F,12-17 AÑOS,PERÚ,1
2022,08,150101,LIMA METROPOLITANA,LIMA,LIMA,M,6-11 AÑOS,PERÚ,1
2025,02,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,18-29 AÑOS,PERÚ,3
2025,11,150128,LIMA METROPOLITANA,LIMA,RIMAC,M,60 A MAS AÑOS,PERÚ,2
2021,12,040112,AREQUIPA,AREQUIPA,PAUCARPATA,M,18-29 AÑOS,PERÚ,1
2021,05,160101,LORETO,MAYNAS,IQUITOS,F,,PERÚ,1
2023,05,030101,APURIMAC,ABANCAY,ABANCAY,F,18-29 AÑOS,PERÚ,3
2022,05,130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,F,12-17 AÑOS,VENEZUELA,1
2024,06,080901,CUSCO,LA CONVENCION,SANTA ANA,M,12-17 AÑOS,PERÚ,2
2023,10,150101,LIMA METROPOLITANA,LIMA,LIMA,F,12-17 AÑOS,PERÚ,8
2021,12,040110,AREQUIPA,AREQUIPA,MIRAFLORES,F,30-59 AÑOS,PERÚ,1
2025,11,200115,PIURA,PIURA,26 DE OCTUBRE,M,60 A MAS AÑOS,PERÚ,1
2020,02,040122,AREQUIPA,AREQUIPA,SOCABAYA,M,30-59 AÑOS,PERÚ,1
2025,02,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,M,30-59 AÑOS,PERÚ,1
2023,02,250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,M,30-59 AÑOS,PERÚ,1
2020,10,200105,PIURA,PIURA,CATACAOS,M,6-11 AÑOS,PERÚ,1
2025,12,210101,PUNO,PUNO,PUNO,M,18-29 AÑOS,PERÚ,2
2025,09,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,M,,PERÚ,1
2023,02,060304,CAJAMARCA,CELENDIN,HUASMIN,F,12-17 AÑOS,PERÚ,1
2019,12,120604,JUNÍN,SATIPO,MAZAMARI,M,30-59 AÑOS,PERÚ,1
2023,02,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,12-17 AÑOS,PERÚ,25
2025,05,030101,APURIMAC,ABANCAY,ABANCAY,M,12-17 AÑOS,PERÚ,1
2024,08,040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,F,0-5 AÑOS,PERÚ,1
2025,08,150201,REGIÓN LIMA,BARRANCA,BARRANCA,M,12-17 AÑOS,PERÚ,1
2020,09,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,12-17 AÑOS,VENEZUELA,2
2024,02,081301,CUSCO,URUBAMBA,URUBAMBA,F,18-29 AÑOS,PERÚ,2
2022,09,021801,ÁNCASH,SANTA,CHIMBOTE,M,30-59 AÑOS,PERÚ,1
2023,07,090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,M,60 A MAS AÑOS,PERÚ,1
2023,03,250303,UCAYALI,PADRE ABAD,CURIMANA,F,12-17 AÑOS,PERÚ,1
2020,08,150105,LIMA METROPOLITANA,LIMA,BREÑA,M,12-17 AÑOS,PERÚ,1
2024,11,120908,JUNÍN,CHUPACA,TRES DE DICIEMBRE,M,30-59 AÑOS,PERÚ,1
2022,11,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,18-29 AÑOS,PERÚ,6
2023,05,150604,REGIÓN LIMA,HUARAL,AUCALLAMA,M,0-5 AÑOS,PERÚ,1
2024,06,230102,TACNA,TACNA,ALTO DE LA ALIANZA,M,6-11 AÑOS,PERÚ,1
2021,03,120302,JUNÍN,CHANCHAMAYO,PERENE,F,12-17 AÑOS,PERÚ,3
2025,11,090103,HUANCAVELICA,HUANCAVELICA,ACORIA,F,18-29 AÑOS,PERÚ,1
2025,03,200104,PIURA,PIURA,CASTILLA,M,12-17 AÑOS,PERÚ,1
2022,10,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,12-17 AÑOS,PERÚ,6
2022,07,150126,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,M,18-29 AÑOS,PERÚ,1
2025,03,200114,PIURA,PIURA,TAMBO GRANDE,F,12-17 AÑOS,PERÚ,2
2021,01,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,12-17 AÑOS,PERÚ,2
2019,08,120134,JUNÍN,HUANCAYO,SICAYA,M,12-17 AÑOS,PERÚ,1
2019,11,100111,HUÁNUCO,HUANUCO,PILLCO MARCA,M,30-59 AÑOS,PERÚ,1
2020,02,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,F,12-17 AÑOS,PERÚ,5
2024,07,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,60 A MAS AÑOS,PERÚ,1
2019,03,120107,JUNÍN,HUANCAYO,CHILCA,M,12-17 AÑOS,PERÚ,3
2019,10,150101,LIMA METROPOLITANA,LIMA,LIMA,M,6-11 AÑOS,PERÚ,1
2023,08,150201,REGIÓN LIMA,BARRANCA,BARRANCA,F,18-29 AÑOS,PERÚ,1
2024,11,131202,LA LIBERTAD,VIRU,CHAO,F,18-29 AÑOS,PERÚ,1
2023,06,110507,ICA,PISCO,SAN CLEMENTE,F,18-29 AÑOS,PERÚ,2
2019,09,020508,ÁNCASH,BOLOGNESI,HUALLANCA,F,12-17 AÑOS,PERÚ,2
2024,04,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,12-17 AÑOS,PERÚ,1
2020,06,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,60 A MAS AÑOS,PERÚ,1
2019,11,021808,ÁNCASH,SANTA,SANTA,M,60 A MAS AÑOS,PERÚ,1
2021,11,021801,ÁNCASH,SANTA,CHIMBOTE,F,,PERÚ,1
2024,01,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,M,18-29 AÑOS,PERÚ,2
2023,08,080205,CUSCO,ACOMAYO,POMACANCHI,F,12-17 AÑOS,PERÚ,1
2020,03,080405,CUSCO,CALCA,PISAC,M,30-59 AÑOS,PERÚ,1
2025,06,211101,PUNO,SAN ROMAN,JULIACA,F,0-5 AÑOS,PERÚ,1
2019,03,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,F,30-59 AÑOS,VENEZUELA,1
