AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2021,08,120121,JUNÍN,HUANCAYO,HUAYUCACHI,M,18-29 AÑOS,PERÚ,2
2019,08,230102,TACNA,TACNA,ALTO DE LA ALIANZA,M,18-29 AÑOS,PERÚ,1
2022,05,210102,PUNO,PUNO,ACORA,F,12-17 AÑOS,PERÚ,1
2025,05,050101,AYACUCHO,HUAMANGA,AYACUCHO,M,12-17 AÑOS,PERÚ,4
2024,03,150119,LIMA METROPOLITANA,LIMA,LURIN,F,18-29 AÑOS,PERÚ,1
2023,04,210101,PUNO,PUNO,PUNO,M,6-11 AÑOS,PERÚ,1
2024,08,110112,ICA,ICA,SUBTANJALLA,F,12-17 AÑOS,PERÚ,2
2020,12,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,12-17 AÑOS,VENEZUELA,2
2024,03,120107,JUNÍN,HUANCAYO,CHILCA,M,30-59 AÑOS,PERÚ,2
2024,05,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,6-11 AÑOS,PERÚ,1
2023,08,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,30-59 AÑOS,PERÚ,4
2023,06,221001,SAN MARTÍN,TOCACHE,TOCACHE,F,18-29 AÑOS,PERÚ,1
2023,06,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,F,18-29 AÑOS,PERÚ,1
2025,05,120801,JUNÍN,YAULI,LA OROYA,M,12-17 AÑOS,PERÚ,1
2024,07,220801,SAN MARTÍN,RIOJA,RIOJA,M,18-29 AÑOS,PERÚ,1
2023,09,120107,JUNÍN,HUANCAYO,CHILCA,F,18-29 AÑOS,PERÚ,1
2023,04,110108,ICA,ICA,SALAS,M,18-29 AÑOS,PERÚ,1
2023,06,110207,ICA,CHINCHA,PUEBLO NUEVO,F,18-29 AÑOS,PERÚ,1
2024,02,070103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,M,12-17 AÑOS,PERÚ,1
2020,08,150102,LIMA METROPOLITANA,LIMA,ANCON,F,12-17 AÑOS,PERÚ,1
2019,01,021901,ÁNCASH,SIHUAS,SIHUAS,F,18-29 AÑOS,PERÚ,1
2023,12,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,M,30-59 AÑOS,PERÚ,1
2021,05,040208,AREQUIPA,CAMANA,SAMUEL PASTOR,F,12-17 AÑOS,PERÚ,1
2020,10,220909,SAN MARTÍN,SAN MARTIN,LA BANDA DE SHILCAYO,M,18-29 AÑOS,CHILE,1
2022,06,170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,F,18-29 AÑOS,PERÚ,1
2024,02,150101,LIMA METROPOLITANA,LIMA,LIMA,F,12-17 AÑOS,PERÚ,13
2025,01,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,M,12-17 AÑOS,PERÚ,2
2021,08,180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,F,12-17 AÑOS,PERÚ,1
2019,05,200701,PIURA,TALARA,PARIÑAS,M,12-17 AÑOS,PERÚ,1
2021,05,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,30-59 AÑOS,PERÚ,2
2024,08,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,F,18-29 AÑOS,PERÚ,3
2024,02,080906,CUSCO,LA CONVENCION,QUELLOUNO,M,30-59 AÑOS,PERÚ,1
2022,11,200104,PIURA,PIURA,CASTILLA,M,12-17 AÑOS,PERÚ,2
2025,01,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,M,30-59 AÑOS,PERÚ,4
2019,03,060311,CAJAMARCA,CELENDIN,UTCO,M,30-59 AÑOS,PERÚ,1
2019,09,200305,PIURA,HUANCABAMBA,LALAQUIZ,F,12-17 AÑOS,PERÚ,1
2023,04,120601,JUNÍN,SATIPO,SATIPO,F,12-17 AÑOS,PERÚ,2
2024,02,080901,CUSCO,LA CONVENCION,SANTA ANA,M,30-59 AÑOS,PERÚ,3
2020,11,080101,CUSCO,CUSCO,CUSCO,F,12-17 AÑOS,PERÚ,4
2020,08,200109,PIURA,PIURA,LA ARENA,F,12-17 AÑOS,PERÚ,1
2024,11,100507,HUÁNUCO,HUAMALIES,MONZON,M,18-29 AÑOS,PERÚ,1
2021,11,211105,PUNO,SAN ROMAN,SAN MIGUEL,F,18-29 AÑOS,PERÚ,1
2022,02,070103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,F,18-29 AÑOS,PERÚ,2
2020,02,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,F,,PERÚ,1
2021,09,250301,UCAYALI,PADRE ABAD,PADRE ABAD,M,18-29 AÑOS,PERÚ,1
2020,06,120603,JUNÍN,SATIPO,LLAYLLA,F,12-17 AÑOS,PERÚ,1
2019,01,110305,ICA,NAZCA,VISTA ALEGRE,F,60 A MAS AÑOS,PERÚ,1
2019,09,200302,PIURA,HUANCABAMBA,CANCHAQUE,F,12-17 AÑOS,PERÚ,1
2025,03,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,60 A MAS AÑOS,PERÚ,1
2021,01,210801,PUNO,MELGAR,AYAVIRI,F,18-29 AÑOS,PERÚ,2
2020,11,120302,JUNÍN,CHANCHAMAYO,PERENE,M,18-29 AÑOS,PERÚ,1
